-53.762 -53.241 -52.972 -52.828 -52.641 -52.496 -52.259 -52.192 -52.062 -51.879 -51.791 -51.724 -52.004 -52.269 -52.303 -52.203 -51.814 -51.333 -50.912 -50.331 -49.671 -49.276 -48.614 -47.517 -45.955 -44.140 -42.929 -41.310 -39.234 -37.836 -37.515 -37.504 -36.704 -35.903 -34.505 -33.607 -33.081 -31.096 -31.566 -31.691 -29.688 -27.758 -26.019 -26.098 -25.530 -24.574 -23.556 -22.036 -22.852 -24.571 -25.965 -26.739 -27.896 -28.918 -27.916 -27.022 -26.882 -26.227 -24.973 -25.041 -25.339 -24.783 -25.130 -25.628 -25.897 -26.189 -26.468
-56.105 -55.465 -55.103 -54.989 -54.702 -54.589 -54.562 -54.503 -54.305 -54.110 -54.093 -54.106 -54.178 -54.254 -54.324 -54.124 -53.699 -53.176 -52.693 -52.146 -51.515 -50.947 -50.182 -49.247 -48.023 -46.693 -45.411 -43.830 -42.546 -41.292 -40.399 -40.311 -39.485 -38.714 -38.070 -37.180 -35.849 -34.084 -34.285 -33.787 -31.278 -28.747 -26.567 -26.963 -27.549 -26.922 -25.661 -24.160 -23.537 -23.742 -25.914 -28.217 -29.618 -30.581 -29.543 -28.331 -27.601 -26.420 -25.625 -25.434 -24.923 -24.586 -25.014 -25.921 -26.655 -27.020 -27.792
-58.206 -57.846 -57.540 -57.171 -56.740 -56.531 -56.492 -56.476 -56.249 -55.983 -55.952 -55.946 -55.890 -55.992 -56.065 -55.789 -55.518 -55.037 -54.483 -53.794 -53.118 -52.606 -51.894 -51.007 -49.930 -48.647 -47.152 -45.744 -44.487 -43.391 -43.060 -43.036 -42.298 -41.561 -40.916 -39.681 -38.288 -37.371 -37.079 -35.931 -33.424 -30.460 -27.722 -27.698 -29.279 -28.633 -26.306 -25.334 -25.463 -25.779 -27.370 -29.237 -30.755 -31.881 -31.101 -29.412 -28.134 -27.751 -27.686 -27.025 -26.176 -25.907 -25.638 -26.198 -27.404 -28.025 -28.940
-60.555 -60.365 -60.108 -59.698 -59.332 -59.116 -58.915 -58.613 -58.212 -58.028 -57.996 -57.884 -57.696 -57.708 -57.758 -57.598 -57.478 -57.054 -56.551 -55.581 -54.586 -53.925 -53.046 -52.138 -51.298 -50.342 -48.957 -47.796 -46.743 -45.856 -45.438 -45.170 -44.800 -43.905 -42.999 -41.714 -40.378 -39.820 -39.262 -37.851 -35.191 -33.000 -31.030 -29.361 -30.650 -30.703 -27.560 -26.677 -27.799 -28.798 -29.996 -31.283 -33.111 -33.911 -32.427 -30.479 -29.662 -30.100 -29.963 -28.911 -27.963 -27.013 -26.330 -27.225 -28.404 -28.768 -30.158
-62.471 -62.251 -62.031 -61.788 -61.558 -61.362 -61.242 -61.060 -60.732 -60.491 -60.291 -60.148 -59.993 -59.929 -59.861 -59.663 -59.362 -58.896 -58.413 -57.570 -56.621 -55.505 -54.348 -53.456 -52.365 -51.426 -50.369 -49.635 -49.078 -48.248 -47.562 -47.172 -46.932 -45.747 -44.532 -43.270 -42.278 -41.991 -40.718 -39.200 -37.491 -36.282 -34.915 -32.831 -33.524 -33.417 -30.743 -30.387 -31.025 -31.337 -32.558 -34.143 -35.491 -35.015 -33.106 -32.235 -31.949 -32.146 -32.293 -30.934 -29.026 -27.850 -27.773 -29.438 -31.217 -31.141 -31.325
-63.924 -63.781 -63.600 -63.388 -63.250 -63.135 -63.027 -62.943 -62.738 -62.481 -62.153 -61.997 -61.846 -61.712 -61.586 -61.283 -60.991 -60.473 -59.963 -59.284 -58.508 -57.499 -56.504 -55.627 -54.331 -53.242 -52.290 -51.670 -50.830 -49.833 -49.430 -49.159 -48.710 -47.703 -46.578 -44.966 -43.977 -43.884 -42.304 -40.985 -40.176 -38.668 -37.163 -36.404 -36.763 -36.223 -34.738 -34.348 -34.468 -35.199 -36.306 -37.161 -37.366 -36.052 -34.651 -35.070 -35.114 -34.787 -34.963 -33.258 -30.778 -29.991 -29.987 -30.851 -33.148 -34.799 -34.710
-65.103 -64.971 -64.885 -64.737 -64.593 -64.512 -64.441 -64.401 -64.233 -64.005 -63.710 -63.478 -63.267 -63.027 -62.841 -62.599 -62.307 -61.789 -61.236 -60.619 -59.978 -59.298 -58.486 -57.650 -56.809 -55.906 -54.778 -54.077 -53.227 -52.172 -51.507 -51.009 -50.583 -49.942 -48.930 -47.260 -46.187 -45.799 -44.590 -43.373 -42.264 -40.641 -39.451 -39.338 -39.406 -39.153 -38.292 -37.080 -37.278 -38.601 -39.033 -39.198 -38.929 -37.574 -36.612 -37.453 -37.729 -37.049 -36.575 -35.375 -33.456 -32.534 -32.697 -33.109 -34.144 -35.939 -37.031
-66.057 -65.953 -65.854 -65.773 -65.680 -65.629 -65.549 -65.470 -65.306 -65.197 -64.987 -64.721 -64.505 -64.271 -64.055 -63.788 -63.473 -63.035 -62.526 -62.002 -61.441 -60.904 -60.322 -59.647 -59.033 -58.387 -57.413 -56.734 -56.065 -55.352 -54.484 -53.577 -52.772 -51.831 -50.962 -49.991 -49.134 -48.020 -46.890 -45.811 -44.226 -43.090 -42.178 -41.898 -42.092 -41.503 -40.227 -39.268 -39.893 -41.036 -41.306 -41.319 -40.844 -39.723 -39.230 -39.870 -39.845 -38.899 -38.386 -37.908 -36.369 -35.359 -36.087 -37.212 -37.490 -37.956 -38.765
-66.814 -66.755 -66.684 -66.604 -66.505 -66.491 -66.439 -66.365 -66.250 -66.097 -65.942 -65.751 -65.528 -65.308 -65.110 -64.873 -64.608 -64.349 -63.981 -63.543 -63.091 -62.554 -62.027 -61.467 -60.930 -60.398 -59.733 -59.046 -58.303 -57.737 -56.947 -56.176 -55.289 -54.138 -53.076 -51.962 -51.140 -50.032 -49.084 -48.182 -46.753 -46.053 -45.342 -44.854 -44.832 -44.025 -42.976 -42.154 -41.754 -42.486 -43.327 -43.293 -42.667 -41.758 -41.200 -41.593 -41.751 -41.168 -40.540 -39.788 -38.431 -38.210 -39.297 -40.104 -40.319 -40.500 -40.783
-67.432 -67.372 -67.327 -67.280 -67.208 -67.195 -67.108 -67.028 -66.961 -66.849 -66.692 -66.526 -66.359 -66.187 -65.998 -65.839 -65.644 -65.437 -65.182 -64.825 -64.472 -64.054 -63.614 -63.074 -62.615 -62.104 -61.311 -60.651 -59.927 -59.360 -58.731 -58.063 -57.299 -56.340 -55.331 -54.136 -53.092 -52.097 -51.214 -50.305 -49.268 -48.586 -47.852 -47.420 -46.924 -46.031 -45.120 -44.199 -43.804 -44.207 -44.943 -45.043 -44.426 -43.579 -43.084 -43.154 -43.361 -43.028 -42.185 -41.261 -40.103 -40.079 -41.021 -41.953 -42.376 -42.495 -42.823
